,time,PCPI_IX,country
215,2019,130.290437892643,PE
216,2020,132.899389330896,PE
217,2021,138.576404455789,PE
218,2022,150.124955005568,PE
219,1950,3.01383990609217,IT
220,1951,3.44438846406976,IT
221,1952,3.5084370098899,IT
222,1953,3.55825254556337,IT
223,1954,3.66944793761222,IT
224,1955,3.78064332966108,IT
225,1956,3.90853164386385,IT
226,1957,3.96004630580948,IT
227,1958,4.07325900437312,IT
228,1959,4.0525931367114,IT
229,1960,4.1478356168675,IT
230,1961,4.23289517040142,IT
231,1962,4.43146636159585,IT
232,1963,4.76181969210581,IT
233,1964,5.04335383070425,IT
234,1965,5.27127652200706,IT
235,1966,5.39497171356003,IT
236,1967,5.59638425993536,IT
237,1968,5.66786762342352,IT
238,1969,5.81847719079905,IT
239,1970,6.10755774939256,IT
240,1971,6.400211418762,IT
241,1972,6.76819182627925,IT
242,1973,7.49906297020349,IT
243,1974,8.93586615636377,IT
244,1975,10.4505403785668,IT
245,1976,12.1868105543459,IT
246,1977,14.274417147842,IT
247,1978,16.0007671336392,IT
248,1979,18.3686524290589,IT
249,1980,22.2378562869468,IT
250,1981,26.2338431191814,IT
251,1982,30.557289236041,IT
252,1983,35.0328860337616,IT
253,1984,38.8145095180515,IT
254,1985,42.3877699427438,IT
255,1986,44.8562416131162,IT
256,1987,46.9856951996717,IT
257,1988,49.3623479415055,IT
258,1989,52.4523476876402,IT
259,1990,55.838990721391,IT
260,1991,59.328927249434,IT
261,1992,62.455911747802,IT
262,1993,65.3455810784169,IT
263,1994,67.9932808957477,IT
264,1995,71.5530164769477,IT
265,1996,74.4201291680352,IT
266,1997,75.9406126299779,IT
267,1998,77.4253165947392,IT
268,1999,78.7132557275131,IT
269,2000,80.7107504637521,IT
270,2001,82.9586783816502,IT
271,2002,85.0038779193305,IT
272,2003,87.2756537574471,IT
273,2004,89.201597564227,IT
274,2005,90.9725106234272,IT
275,2006,92.8746038216872,IT
276,2007,94.5739686397295,IT
277,2008,97.740146777842,IT
278,2009,98.497406286648,IT
279,2010,100,IT
280,2011,102.780632728793,IT
281,2012,105.90656520528,IT
282,2013,107.198618335037,IT
283,2014,107.457017849343,IT
284,2015,107.498700856028,IT
285,2016,107.397634171255,IT
286,2017,108.714901774357,IT
287,2018,109.951520340534,IT
288,2019,110.623595648239,IT
289,2020,110.471258578492,IT
290,2021,112.541250526224,IT
291,2022,121.771084752039,IT
